Provider  	Language	AlertFile                     	  BLEU
azure     	vi   	winterstorm_advisory_1.txt    	  5.56
azure     	vi   	winterstorm_warning_1_long.txt	  4.00
azure     	vi   	winterstorm_warning_2_short.txt	  9.14
azure     	vi   	winterstorm_warning_3.txt     	  5.29
azure     	vi   	winterstorm_watch_1.txt       	  0.09
azure     	vi   	winterstorm_watch_2.txt       	  1.09
azure     	vi   	winterstorm_watch_3.txt       	  2.66
azure     	ko   	avalanche_warning_1.txt       	  0.79
azure     	ko   	avalanche_watch_1.txt         	  3.94
azure     	ko   	blowingdust_advisory_1.txt    	  1.41
azure     	ko   	coldweather_advisory_1.txt    	  2.83
azure     	ko   	densefog_advisory_1.txt       	  1.17
azure     	ko   	extremecold_warning_1.txt     	  1.86
azure     	ko   	extremecold_watch_1.txt       	  1.77
azure     	ko   	fireweather_watch_1.txt       	  2.31
azure     	ko   	fireweather_watch_2.txt       	  5.16
azure     	ko   	flashflood_warning_1.txt      	 10.95
azure     	ko   	flashflood_warning_2_long.txt 	  2.12
azure     	ko   	flashflood_watch_1.txt        	  3.11
azure     	ko   	flood_advisory_1.txt          	  7.76
azure     	ko   	flood_advisory_2.txt          	  2.81
azure     	ko   	frost_advisory_1.txt          	  4.23
azure     	ko   	helene_advisory_num15.txt     	  0.92
azure     	ko   	helene_discussion_num15.txt   	  1.33
azure     	ko   	helene_update_1.txt           	  3.33
azure     	ko   	highwind_warning_1.txt        	  3.40
azure     	ko   	highwind_watch_1.txt          	  8.83
azure     	ko   	redflag_warning_1.txt         	  1.17
azure     	ko   	redflag_warning_2.txt         	  8.11
azure     	ko   	redflag_warning_3.txt         	  4.26
azure     	ko   	snowsquall_warning_1.txt      	  4.95
azure     	ko   	tornado_warning_1.txt         	  6.68
azure     	ko   	tornado_warning_2.txt         	  3.06
azure     	ko   	tornado_warning_3.txt         	 10.51
azure     	ko   	tornado_warning_4.txt         	  1.13
azure     	ko   	tornado_warning_5.txt         	  2.81
azure     	ko   	tornado_watch_1.txt           	  3.21
azure     	ko   	tornado_watch_2.txt           	  3.45
azure     	ko   	tornado_watch_3.txt           	  1.25
azure     	ko   	tornado_watch_4.txt           	  2.07
azure     	ko   	tstorm_warning_1.txt          	  6.55
azure     	ko   	tstorm_warning_2.txt          	  2.57
azure     	ko   	tstorm_warning_3.txt          	  6.80
azure     	ko   	tstorm_warning_4.txt          	  1.37
azure     	ko   	tstorm_warning_5.txt          	  5.68
azure     	ko   	tstorm_watch_1.txt            	  0.06
azure     	ko   	tstorm_watch_2.txt            	  0.84
azure     	ko   	tsunami_advisory_1.txt        	  1.42
azure     	ko   	tsunami_advisory_2.txt        	  3.20
azure     	ko   	tsunami_info_statement_1.txt  	  1.09
azure     	ko   	tsunami_info_statement_2.txt  	  2.59
azure     	ko   	tsunami_test_template.txt     	  0.71
azure     	ko   	tsunami_threat_message.txt    	  0.30
azure     	ko   	tsunami_warning_1.txt         	  0.98
azure     	ko   	tsunami_warning_cancel.txt    	  0.74
azure     	ko   	wind_advisory_1.txt           	  4.52
azure     	ko   	winterstorm_advisory_1.txt    	  5.86
azure     	ko   	winterstorm_warning_1_long.txt	  2.98
azure     	ko   	winterstorm_warning_2_short.txt	  7.05
azure     	ko   	winterstorm_warning_3.txt     	  4.85
azure     	ko   	winterstorm_watch_1.txt       	  0.11
azure     	ko   	winterstorm_watch_2.txt       	  1.14
azure     	ko   	winterstorm_watch_3.txt       	  2.60
azure     	km   	avalanche_warning_1.txt       	  0.51
azure     	km   	avalanche_watch_1.txt         	  2.23
azure     	km   	blowingdust_advisory_1.txt    	  1.48
azure     	km   	coldweather_advisory_1.txt    	  2.60
azure     	km   	densefog_advisory_1.txt       	  0.84
azure     	km   	extremecold_warning_1.txt     	  2.56
azure     	km   	extremecold_watch_1.txt       	  2.14
